,CS_CW-nDCG@5,CS_CW-MAP@5,CS_CW-nDCG@10,CS_CW-MAP@10,CS_CW-nDCG@20,CS_CW-MAP@20,WCA_CW-nDCG@5,WCA_CW-MAP@5,WCA_CW-nDCG@10,WCA_CW-MAP@10,WCA_CW-nDCG@20,WCA_CW-MAP@20,Friction_CW-nDCG@5,Friction_CW-MAP@5,Friction_CW-nDCG@10,Friction_CW-MAP@10,Friction_CW-nDCG@20,Friction_CW-MAP@20
Pop,0.0293,0.0229,0.0338,0.0248,0.0371,0.0257,0.0888,0.0695,0.1023,0.0753,0.1122,0.078,0.0453,0.0354,0.0523,0.0384,0.0573,0.0398
Random,0.0002,0.0001,0.0002,0.0001,0.0003,0.0002,0.0006,0.0004,0.0007,0.0005,0.0009,0.0005,0.0003,0.0002,0.0003,0.0002,0.0004,0.0003
